"uri","did","subject","created_at"
"at://did:plc:w342borqxtyo2pul67ec2pwt/app.bsky.graph.follow/3khase6mjb325","did:plc:w342borqxtyo2pul67ec2pwt","did:plc:wrwrwks525omvpo6355rewys","2023-12-23T23:56:19.881Z"
"at://did:plc:w342borqxtyo2pul67ec2pwt/app.bsky.graph.follow/3kbl4kuarnl2h","did:plc:w342borqxtyo2pul67ec2pwt","did:plc:g2cv2aanm64kfjsnl67bjlkc","2023-10-12T17:54:28.651Z"
"at://did:plc:w342borqxtyo2pul67ec2pwt/app.bsky.graph.follow/3kbjh5qlgxh2p","did:plc:w342borqxtyo2pul67ec2pwt","did:plc:5cueys2e7fyc5p5oypzg6wnq","2023-10-12T01:58:40.196Z"
"at://did:plc:w342borqxtyo2pul67ec2pwt/app.bsky.graph.follow/3kap3fvomau2q","did:plc:w342borqxtyo2pul67ec2pwt","did:plc:bnqkww7bjxaacajzvu5gswdf","2023-10-01T14:19:16.026Z"
"at://did:plc:w342borqxtyo2pul67ec2pwt/app.bsky.graph.follow/3kd7hpsp7tg27","did:plc:w342borqxtyo2pul67ec2pwt","did:plc:ituoear7k6qx3smjfoxhufm4","2023-11-02T13:32:32.650Z"
"at://did:plc:w342borqxtyo2pul67ec2pwt/app.bsky.graph.follow/3kk32pihumf2d","did:plc:w342borqxtyo2pul67ec2pwt","did:plc:oisofpd7lj26yvgiivf3lxsi","2024-01-28T21:25:25.580Z"
"at://did:plc:w342borqxtyo2pul67ec2pwt/app.bsky.graph.follow/3kko5hzga5j2k","did:plc:w342borqxtyo2pul67ec2pwt","did:plc:hnvgyzbfrdao746cp23kpnzr","2024-02-05T11:35:30.930Z"
"at://did:plc:w342borqxtyo2pul67ec2pwt/app.bsky.graph.follow/3k7lwl7sy5n2a","did:plc:w342borqxtyo2pul67ec2pwt","did:plc:qezk54orevt3dtm4ijcyadnq","2023-09-17T14:49:35.131Z"
"at://did:plc:w342borqxtyo2pul67ec2pwt/app.bsky.graph.follow/3kghb5et4zo2y","did:plc:w342borqxtyo2pul67ec2pwt","did:plc:74tirxp7mynbtfpt5pvx6ror","2023-12-13T20:11:44.502Z"
"at://did:plc:w342borqxtyo2pul67ec2pwt/app.bsky.graph.follow/3kconlir7xq2d","did:plc:w342borqxtyo2pul67ec2pwt","did:plc:ryv4mnl2o6ynzgxdeyxjuuzs","2023-10-26T21:02:14.501Z"
"at://did:plc:qjeavhlw222ppsre4rscd3n2/app.bsky.graph.follow/3kleduhbyy22k","did:plc:qjeavhlw222ppsre4rscd3n2","did:plc:vggsjzvhakoa7l2m2mguqv4w","2024-02-14T07:28:25.009Z"
"at://did:plc:qjeavhlw222ppsre4rscd3n2/app.bsky.graph.follow/3klcwfzeibc2o","did:plc:qjeavhlw222ppsre4rscd3n2","did:plc:ruwnuvzigdl3527oe3vjrqwj","2024-02-13T17:55:02.393Z"
"at://did:plc:qjeavhlw222ppsre4rscd3n2/app.bsky.graph.follow/3kkpsxf2kw22y","did:plc:qjeavhlw222ppsre4rscd3n2","did:plc:dst5a7uf7wtatmp66p5ygzmw","2024-02-06T03:32:35.084Z"
"at://did:plc:qjeavhlw222ppsre4rscd3n2/app.bsky.graph.follow/3kl7g7hubhz2d","did:plc:qjeavhlw222ppsre4rscd3n2","did:plc:qrw2fun5ahsqvx73k5geleme","2024-02-12T08:27:03.747Z"
"at://did:plc:qjeavhlw222ppsre4rscd3n2/app.bsky.graph.follow/3klgcyjniek2w","did:plc:qjeavhlw222ppsre4rscd3n2","did:plc:vtpyqvwce4x6gpa5dcizqecy","2024-02-15T02:18:07.667Z"
"at://did:plc:qjeavhlw222ppsre4rscd3n2/app.bsky.graph.follow/3kkouqydiua2t","did:plc:qjeavhlw222ppsre4rscd3n2","did:plc:v5tbrzjssnf2u7pynhf6s4ev","2024-02-05T18:32:08.167Z"
"at://did:plc:qjeavhlw222ppsre4rscd3n2/app.bsky.graph.follow/3kkam2gtgbs2d","did:plc:qjeavhlw222ppsre4rscd3n2","did:plc:f5im4evks4xl4k32bpanc3fu","2024-01-31T02:19:05.168Z"
"at://did:plc:qjeavhlw222ppsre4rscd3n2/app.bsky.graph.follow/3kkour4fqt22b","did:plc:qjeavhlw222ppsre4rscd3n2","did:plc:trulgs3hanjla333rzttvdfq","2024-02-05T18:32:12.521Z"
"at://did:plc:qjeavhlw222ppsre4rscd3n2/app.bsky.graph.follow/3kl5xmdgqbn2m","did:plc:qjeavhlw222ppsre4rscd3n2","did:plc:c642glfnwcm7kbcgpoptvqne","2024-02-11T18:33:09.441Z"
"at://did:plc:qjeavhlw222ppsre4rscd3n2/app.bsky.graph.follow/3kkrbvc5pek2m","did:plc:qjeavhlw222ppsre4rscd3n2","did:plc:yckmmocpnqkrdwkp2q5rdipl","2024-02-06T17:32:30.891Z"
"at://did:plc:eu4n4z4af2n7unq63wkfnk3n/app.bsky.graph.follow/3kfadeqfhbm2o","did:plc:eu4n4z4af2n7unq63wkfnk3n","did:plc:gv5ngsxpdxh4kyhjh2gcjepu","2023-11-28T08:37:49.014Z"
"at://did:plc:eu4n4z4af2n7unq63wkfnk3n/app.bsky.graph.follow/3kbie4wdarr2q","did:plc:eu4n4z4af2n7unq63wkfnk3n","did:plc:6mfxqalvhnfunjxagafsrp3b","2023-10-11T15:31:51.958Z"
"at://did:plc:eu4n4z4af2n7unq63wkfnk3n/app.bsky.graph.follow/3kau3nu6bw62h","did:plc:eu4n4z4af2n7unq63wkfnk3n","did:plc:bmbrgpqto57vgstqfr2pavv2","2023-10-03T14:07:01.683Z"
"at://did:plc:eu4n4z4af2n7unq63wkfnk3n/app.bsky.graph.follow/3kbbjlnousb26","did:plc:eu4n4z4af2n7unq63wkfnk3n","did:plc:jod2w5jcdkgvnvve5afq2tyb","2023-10-08T22:20:56.751Z"
"at://did:plc:eu4n4z4af2n7unq63wkfnk3n/app.bsky.graph.follow/3kcntb7zbq52h","did:plc:eu4n4z4af2n7unq63wkfnk3n","did:plc:w2hntx7xcro2trqbk35full3","2023-10-26T13:11:12.839Z"
"at://did:plc:eu4n4z4af2n7unq63wkfnk3n/app.bsky.graph.follow/3kcly6btcns2v","did:plc:eu4n4z4af2n7unq63wkfnk3n","did:plc:iyzf6s4vtzsojyveth3wtexp","2023-10-25T19:33:42.811Z"
